40666794,13213459,25550319,30373349,35391217,15504875,21857902,84883132,57424305,7051441,79757724,481196,66361112,87652996,99780097,45424687,94089437,70377707,72988675,41932218,87689346,2748167,49999527,56534199,64329884,32374018,91223594,20161553,73708301,14997155,18652977,86458056
32046780,31518871,73768809,35663730,87313487,27737482,31894915,44771817,52483642,95289138,27471608,77577102,19958245,98886949,32897811,79379484,52402792,54665303,38010843,57593881,74568358,33093651,42068279,10825692,23624667,99504145,47618008,75105686,47901984,61752552,43542842,75430340
75138997,1380585,20866193,62017981,71981546,56752253,28693258,7122324,53883105,24445754,36708047,45794584,26008995,9198268,34748313,20506933,60928553,56765133,76762115,43609628,58637652,92572867,52751163,34125245,62567238,34282566,63305042,49101659,9509687,62857555,30176315,43359165
45050898,59758591,30636286,71505515,44030190,948272,81140612,62818043,86460889,60505340,75681622,69118901,21124704,12405774,51201820,27180731,6403483,7155597,61772903,13302272,11508116,56508989,2405011,37671272,85997200,96825627,50765324,41491265,78330327,17750746,28248980,77360879
76035995,95502548,41102250,29640564,89820575,99396150,86990103,15680918,18574594,3807557,17133249,60400875,23504557,75001363,16972057,94291577,24383280,51488200,11488262,45913558,78155393,2644249,12774323,75899826,48068919,94684157,92149428,90998434,49636713,26698958,75472889,76258338
77910527,72209187,37031937,63312967,68091847,82254326,71788406,81443281,21472134,96886757,82745983,95206970,49140658,97729959,84107215,17817379,19981323,43129244,71454325,46533939,65831420,88181175,87497160,24718819,70283662,73609174,27500064,93608969,89494844,46695917,25918002,65379855
90430940,57979751,56013287,31856293,5336561,9409172,75860366,20704058,11456696,14180421,27405356,68505810,52147568,4531296,38776442,73691901,72042431,37036083,2274371,31153891,66352343,39896703,41765014,7752563,28101156,76981885,14891836,76299818,58096117,82440675,38768114,37220377
74374714,87561008,71827307,40565940,66360140,91610646,25518690,31884291,47977355,29324350,53185879,75756952,80665227,88345019,79922379,78570809,5889138,14708290,36368066,19938757,99653004,89901646,44316281,11265770,73087679,62142997,1925052,66728535,68614758,84073005,70615684,9405782
42529318,95980469,72172490,16436650,65350542,83128287,42996802,95774944,9672755,68234624,7851784,13656540,98579520,85674947,83654797,66529086,80905289,76923820,82910437,80543075,28113490,34304009,7070533,4298602,7697136,90984438,35163011,37889719,6755730,65081700,27815234,18070186
2201400,88444387,84535418,37435728,12607572,20350707,22269543,37318246,45263269,70371807,50286565,83195588,76792143,23417015,48915709,97619524,87072794,36388510,11638638,20234411,50665910,74711014,24443130,84911334,6219162,26821176,38013044,16640749,36347753,99326506,87295391,20261108
97725717,23314434,96834060,16599439,34680185,54738318,2214048,13745417,34575237,71070164,79880888,22908551,79588744,27484275,70294934,16233108,31966124,76558418,5225969,29439989,43361686,94592532,72638000,98862504,73469345,37687138,22777202,701973,33414635,9682066,46413346,30696122
69728278,3112597,35193995,30403187,91240322,39196043,94943783,93547390,97270281,20579766,91017556,28354702,24224457,22191411,84381214,61539442,8209311,95189397,60311349,56001569,92216931,99043441,4229892,90223711,5865943,89225510,93156091,71992928,91547931,4892612,73349218,86176989
19202494,7957065,96198848,952870,82945193,80989004,62353583,28654994,15235362,20842229,97614278,26675223,86883850,24796293,15399644,82247952,59496122,27798819,25588000,41111465,55461785,16270726,76518523,87568766,16320154,81228965,86842899,48251062,71088452,48918102,51896311,42867106
62558390,25661428,54727339,22657437,54288817,64984491,16951986,47537568,51285100,24088461,11851796,15268467,96963201,30968882,78566548,70847399,10491665,83535960,79037656,63070299,52287771,13978597,80092222,74497892,75554415,82107075,77006347,70873179,2044597,89334093,85541591,52048957
